city,companyFullName,companyId,createTime,education,positionId,positionName,salary,workYear
杭州,浙江钱花网络科技有限公司,249963,2018-02-24 17:57:43,本科,4142761,python开发,10k-18k,1-3年
北京,北京东方畅享科技有限公司,298378,2018-02-24 10:28:47,本科,4129174,Python开发工程师,20k-30k,3-5年
北京,北京猎户星空科技有限公司,172285,2018-02-24 17:28:03,本科,3972672,Python开发工程师,18k-35k,3-5年
上海,北京奇安信科技有限公司,148909,2018-02-24 10:40:57,本科,4137574,Python开发工程师,15k-30k,3-5年
北京,会找房（北京）网络技术有限公司,46399,2018-02-24 10:00:32,本科,3177447,python开发工程师,15k-30k,3-5年
北京,上海微创软件股份有限公司北京分公司,36513,2018-02-24 11:45:35,本科,4131131,Python开发工程师（微软）,10k-15k,3-5年
北京,先花信息技术（北京）有限公司,22884,2018-02-24 13:34:40,大专,4139271,python研发工程师,15k-20k,3-5年
厦门,厦门笨鸟电子商务有限公司,84086,2018-02-24 18:11:53,本科,3462262,Python工程师,8k-15k,3-5年
无锡,无锡市朝霞网络科技有限公司,290928,2018-02-24 14:25:27,大专,3956136,Python开发工程师,8k-12k,1-3年
北京,北京缔联科技有限公司,35322,2018-02-24 14:40:27,本科,3934436,Python开发工程师,10k-20k,3-5年
深圳,深圳市乐易网络有限公司,33627,2018-02-24 10:01:35,本科,2951745,Python,15k-30k,3-5年
北京,北京第三石科技发展有限公司,22139,2018-02-24 09:59:41,本科,3347357,Python开发工程师,15k-30k,3-5年
上海,上海基分文化传播有限公司,202104,2018-02-24 09:54:29,大专,4134094,Python开发工程师,20k-35k,3-5年
北京,北京一览科技有限公司,212939,2018-02-22 10:45:37,本科,3722967,python开发工程师,20k-40k,不限
北京,北京第三石科技发展有限公司,22139,2018-02-24 20:47:13,本科,4143605,【5Miles】Python开发工程师,15k-30k,3-5年
北京,联想（北京）有限公司,1650,2018-02-24 12:02:10,本科,4044836,Python开发工程师,20k-40k,5-10年
北京,先花信息技术（北京）有限公司,22884,2018-02-24 11:57:27,不限,4138824,Python中级工程师,15k-20k,3-5年
成都,成都好房通科技股份有限公司,3628,2018-02-24 20:59:27,大专,2285433,Python,4k-7k,1-3年
北京,北京蚂蜂窝网络科技有限公司,109,2018-02-24 18:55:21,本科,3736060,高级Python开发工程师,15k-30k,3-5年
北京,北京智者天下科技有限公司,4128,2018-02-23 15:17:10,本科,4133107,Python开发工程师,20k-40k,3-5年
杭州,杭州群核信息技术有限公司,10359,2018-02-24 12:11:33,本科,3712940,Python研发工程师,15k-23k,1-3年
北京,深圳码隆科技有限公司,78224,2018-02-24 10:13:19,不限,3896986,高级Python工程师,25k-40k,3-5年
北京,北京三快在线科技有限公司,50702,2018-02-25 03:10:20,本科,4134091,服务端高级开发工程师Golang/Python,35k-45k,3-5年
北京,北京汇行科技有限公司,8861,2018-02-24 13:58:59,本科,3828557,Python开发,8k-16k,1年以下
北京,宽拓（北京）科技有限公司,86742,2018-02-11 11:44:26,本科,4118556,Python,20k-40k,3-5年
郑州,大河网络传媒有限公司,64166,2018-02-24 10:49:32,本科,2452963,Python,5k-10k,1-3年
长沙,长沙辰运软件有限公司,29579,2018-02-22 16:58:15,不限,2698641,Python工程师,10k-15k,不限
北京,北京智融时代科技有限公司,6996,2018-02-22 14:42:46,本科,2452260,高级Python开发工程师,20k-40k,3-5年
深圳,深圳众禄基金销售股份有限公司,50285,2018-02-24 16:30:52,大专,3256729,Python开发工程师,18k-25k,3-5年
北京,北京第三石科技发展有限公司,22139,2018-02-24 09:59:41,本科,3835532,Python高级开发工程师,18k-36k,3-5年
北京,深圳码隆科技有限公司,78224,2018-02-24 10:13:19,不限,3917828,Python开发工程师（北京）,15k-25k,3-5年
北京,在线途游（北京）科技有限公司,2646,2018-02-24 16:27:59,本科,3887081,python开发工程师,15k-25k,3-5年
北京,北京开拓天际科技有限公司,181493,2018-02-24 13:23:14,本科,4052835,Python工程师,15k-23k,3-5年
北京,北京搜狗科技发展有限公司,1537,2018-02-24 10:13:39,本科,3119907,技术工程部-python开发工程师,20k-40k,3-5年
北京,北京智融时代科技有限公司,6996,2018-02-22 14:42:44,本科,2879999,Python开发工程师,20k-40k,3-5年
北京,维我软件（上海）有限公司北京分公司,42934,2018-02-24 10:45:35,本科,3642995,Python工程师,20k-30k,3-5年
北京,北京奇安信科技有限公司,148909,2018-02-23 17:38:57,本科,3460224,Python开发工程师,15k-30k,3-5年
北京,北京智分科技有限公司,284128,2018-02-24 11:12:02,本科,3865530,高级Python开发工程师,25k-45k,3-5年
北京,上海游族信息技术有限公司,14983,2018-02-24 10:44:39,不限,4076348,Python开发工程师-base北京,12k-18k,3-5年
深圳,深圳市乐易网络有限公司,33627,2018-02-24 10:01:32,本科,3172437,python开发工程师,10k-20k,3-5年
